Death Date,Race_Asian,Race_BlackAfricanAmerican,Race_Hispanic,Race_Other,Race_OtherPacificIslander,Race_White,Gender_Female,Gender_Male,Avg_Age
2019-01-31,3,0,3,0,0,6,2,10,55.333333333333336
2019-02-28,3,0,3,0,0,2,2,6,56.125
2019-03-31,5,1,3,0,0,5,5,9,47.285714285714285
2019-04-30,2,0,2,0,0,8,3,9,46.166666666666664
2019-05-31,2,0,2,0,0,7,4,7,53.81818181818182
2019-06-30,2,1,1,0,0,11,3,12,50.333333333333336
2019-07-31,6,1,1,1,1,12,6,16,50.81818181818182
2019-08-31,5,1,3,0,0,10,7,12,49.94736842105263
2019-09-30,8,0,1,1,0,6,1,15,45.1875
2019-10-31,3,0,3,0,1,8,3,12,41.8
2019-11-30,2,2,2,0,0,6,6,6,45.5
2019-12-31,3,0,2,0,0,8,4,9,43.30769230769231
